,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,year,month
1009,6697,Condemned 2: Bloodshot,PS3,Monolith Productions,Sega,8.4,,0.39,0.17,0.16,,0.06,2008,03
1010,6698,Taiko no Tatsujin Wii: Ketteiban,Wii,Bandai Namco Games,Namco Bandai,,,0.39,,,0.39,,2011,11
1011,6699,Disney Princess: Enchanting Storybooks,Wii,THQ,THQ,,,0.39,0.25,0.1,,0.03,2011,11
1012,6700,Monopoly Streets,PS3,Electronic Arts,Electronic Arts,,,0.39,0.16,0.17,,0.06,2010,10
1013,6701,SSX 3,XB,EA Canada,EA Sports BIG,,,0.39,0.29,0.08,,0.01,2003,10
1014,6702,Madden NFL 2005,GBA,Exient Entertainment,EA Sports,,,0.39,0.28,0.1,,0.01,2004,08
1015,6703,All-Star Baseball 2000,N64,Iguana Entertainment,Acclaim Entertainment,,,0.39,0.36,0.03,,0.0,1999,03
1016,6704,BattleTanx: Global Assault,N64,3DO,3DO,,,0.39,0.31,0.07,,0.0,1999,08
1017,6705,Custom Robo V2,N64,Noise Inc.,Nintendo,,,0.39,,,0.34,0.05,2000,11
1018,6706,Extreme-G: XG2,N64,Probe Entertainment Limited,Acclaim Entertainment,,,0.39,0.31,0.07,,0.0,1998,10
1019,6707,Hatsune Miku: Project DIVA F,All,Sega,Unknown,,,,,,,,,
1020,6708,Ryu ga Gotoku Ishin!,All,Sega,Unknown,,,,,,,,,
1021,6709,Monster Jam: Urban Assault,DS,Torus Games,Activision,,,0.39,0.36,0.0,,0.03,2008,10
1022,6710,Batman: Arkham VR,PS4,Rocksteady Studios,Warner Bros. Interactive Entertainment,,,0.39,0.32,,,0.07,2016,10
1023,6711,Chibi-Robo! Plug into Adventure!,GC,skip Ltd.,Nintendo,7.4,,0.39,0.23,0.06,0.09,0.01,2006,02
1024,6712,Star Wars The Clone Wars: Republic Heroes,X360,Krome Studios,LucasArts,,,0.39,0.18,0.17,,0.04,2009,10
1025,6713,Jampack Winter 2003 (RP-T),PS2,Sony Computer Entertainment America,Sony Computer Entertainment,,,0.39,0.19,0.15,,0.05,2003,10
1026,6714,Dragon's Crown,PSV,Vanillaware,Atlus,,,0.39,0.14,0.06,0.12,0.07,2013,08
1027,6715,Kengo: Master of Bushido,PS2,LightWeight,Crave Entertainment,,,0.39,0.16,0.13,0.06,0.04,2001,01
1028,6716,Blood Omen 2,PS2,Crystal Dynamics,Eidos Interactive,,,0.39,0.19,0.15,,0.05,2002,03
1029,6717,Advance Wars: Dual Strike,DS,Intelligent Systems,Nintendo,9.0,,0.39,0.3,0.03,0.04,0.03,2005,08
1030,6718,Super Fire ProWrestling,SNES,Human Club,Human Entertainment,,,0.39,,,0.39,0.0,1991,12
1031,6719,Cabela's Dangerous Hunts 2,PS2,Sand Grain Studios,Activision,,,0.39,0.19,0.15,,0.05,2005,11
1032,6720,Chessmaster,PS2,Ubisoft Romania,Ubisoft,,,0.39,0.19,0.15,,0.05,2003,05
1033,6721,Fatal Fury,SNES,SNK Corporation,Takara,,,0.39,,,0.39,,1993,04
1034,6722,LocoRoco    Read the review,PSP,SCE Japan Studio,Sony Computer Entertainment,8.1,,0.39,0.14,0.05,0.16,0.03,2006,09
1035,6723,The Evil Within 2,XOne,Tango Gameworks,Bethesda Softworks,,,0.39,0.25,0.1,,0.04,2017,10
1036,6724,Madden NFL 11,PSP,EA Tiburon,EA Sports,,,0.39,0.36,,,0.03,2010,08
1037,6725,Outlast II,PC,Red Barrels,Unknown,,,,,,,,,
1038,6726,Red Faction: Armageddon,X360,Volition Inc.,THQ,7.1,,0.39,0.18,0.16,0.01,0.04,2011,06
1039,6727,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,GB,Alpha Unit,Banpresto,,,0.39,,,0.39,,2001,04
1040,6728,Ice Age 2: The Meltdown,PS2,Eurocom Entertainment Software,Vivendi Games,7.4,,0.39,0.19,0.15,,0.05,2006,03
1041,6729,The Sims 2,GBA,Maxis,Electronic Arts,,,0.39,0.28,0.1,,0.01,2005,10
1042,6730,RWBY: Grimm Eclipse,PC,Rooster Teeth Games,Unknown,,,,,,,,,
1043,6731,Robert Ludlum's The Bourne Conspiracy,PS3,High Moon Studios,Sierra Entertainment,7.6,,0.39,0.18,0.14,,0.06,2008,06
1044,6732,Super Famista 3,SNES,Namco,Namco,,,0.39,,,0.39,,1994,03
1045,6733,Auto Modellista,PS2,Capcom,Capcom,,,0.39,0.19,0.15,,0.05,2003,03
1046,6734,Mass Effect 2     Read the review,PC,BioWare Corp.,Electronic Arts,9.6,,0.39,0.01,0.32,,0.05,2010,01
1047,6735,Hitman: Blood Money,X360,IO Interactive,Eidos Interactive,8.1,,0.39,0.29,0.06,0.01,0.03,2006,05
1048,6736,Tom Clancy's Ghost Recon 2: Summit Strike,XB,Red Storm Entertainment,Ubisoft,,,0.39,0.29,0.08,,0.01,2005,08
1049,6737,Silent Hill: Homecoming,PS3,Double Helix Games,Konami,7.4,,0.39,0.18,0.15,,0.06,2008,09
1050,6738,Zone of the Enders HD Collection,PS3,Kojima Productions,Konami Digital Entertainment,,,0.39,0.21,0.04,0.09,0.05,2012,10
1051,6739,SpongeBob vs The Big One: Beach Party Cook Off,DS,THQ,THQ,,,0.39,0.24,0.11,,0.04,2009,03
1052,6740,Tiger Woods PGA Tour 08,PS2,EA Salt Lake,Electronic Arts,,,0.39,0.19,0.15,,0.05,2007,08
1053,6741,Hooked! Again: Real Motion Fishing,Wii,SIMS,Aksys Games,,,0.39,0.36,0.0,,0.03,2009,11
1054,6742,Tiger Woods PGA Tour 14,PS3,EA Tiburon,EA Sports,,,0.39,0.16,0.16,,0.06,2013,03
1055,6743,Karaoke Revolution Presents American Idol Encore,PS2,Blitz Games,Konami,,,0.39,0.19,0.15,,0.05,2008,02
1056,6744,Get Fit with Mel B,PS3,Lightning Fish,Deep Silver,,,0.39,0.15,0.16,,0.07,2010,10
1057,6745,Airlock,2600,Data Age,Data Age,,,0.39,0.36,0.02,,0.0,1982,01
1058,6746,MotoGP 08,PS3,MileStone Inc.,Capcom,,,0.39,0.07,0.24,,0.08,2008,10
1059,6747,Metal Gear Solid: Snake Eater 3D,3DS,Konami Computer Entertainment Japan,Konami Digital Entertainment,7.9,,0.39,0.15,0.12,0.1,0.02,2012,02
1060,6748,Tokimeki Memorial 2,PS,KCET,Konami,,,0.39,,,0.36,0.03,1999,11
1061,6749,EA Sports Active 2,X360,EA Vancouver,Electronic Arts,6.3,,0.39,0.18,0.16,,0.04,2010,11
1062,6750,LEGO Star Wars III: The Clone Wars,PSP,Traveller's Tales,LucasArts,6.3,,0.39,0.14,0.16,,0.08,2011,03
1063,6751,Farming Simulator 2013,X360,Giants Software,Focus Home Interactive,,,0.39,0.22,0.13,0.0,0.03,2013,11
1064,6752,Little Nightmares    Read the review,PS4,Tarsier Studios,Namco Bandai Games,,,0.39,0.18,0.12,0.02,0.06,2017,04
1065,6753,Harry Potter: Quidditch World Cup,GBA,Magic Pockets,Electronic Arts,4.9,,0.39,0.28,0.1,,0.01,2003,10
1066,6754,Tropico 5,PS4,Haemimont Games,Kalypso Media,,,0.38,0.07,0.18,0.08,0.05,2015,04
1067,6755,Wipeout 2048    Read the review,PSV,Studio Liverpool,Sony Computer Entertainment,,,0.38,0.13,0.19,,0.06,2012,02
1068,6756,Evil Dead: Fistfull of Boomstick,PS2,VIS Entertainment,THQ,,,0.38,0.19,0.15,,0.05,2003,05
1069,6757,Dance Party: Pop Hits,Wii,Broadsword Interactive,Nordic Games,,,0.38,,0.36,,0.02,2009,05
1070,6758,Metal Gear Solid HD Collection,X360,Bluepoint Games,Konami,9.2,,0.38,0.25,0.1,,0.03,2011,11
1071,6759,Triple Play 97,PS,EA Sports,Electronic Arts,,,0.38,0.21,0.15,,0.03,1996,06
1072,6760,"Cook, Serve, Delicious!",PC,Vertigo Gaming Inc.,Vertigo Gaming Inc.,,,,,,,,2013,10
1073,6761,Super Soccer,SNES,Human Entertainment,Nintendo,,,0.38,,,0.38,,1992,05
1074,6762,Marvel: Ultimate Alliance,PS3,Raven Software,Activision,7.7,,0.38,0.33,0.02,,0.03,2006,11
1075,6763,Wario Land II (GBC),GB,Nintendo R&D1,Nintendo,,,0.38,,,0.38,,1999,03
1076,6764,San Francisco Rush: Extreme Racing,PS,Climax Entertainment,Midway Games,,,0.38,0.21,0.15,,0.03,1998,02
1077,6765,Diner Dash: Sizzle & Serve,DS,GameLab / PlayFirst,Eidos Interactive,,,0.38,0.33,0.02,,0.03,2007,05
1078,6766,GRID 2,PS3,Unknown,Codemasters,,,0.38,0.07,0.25,0.01,0.06,2013,05
1079,6767,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,Human Entertainment,Human Entertainment,,,0.38,,,0.36,0.03,1998,06
1080,6768,Yoshi Touch & Go,DS,Nintendo EAD,Nintendo,,,0.38,0.34,0.02,,0.03,2005,03
1081,6769,Viking: Battle for Asgard,PS3,The Creative Assembly,Sega,6.6,,0.38,0.14,0.18,,0.07,2008,03
1082,6770,Wii Sports Club,WiiU,Nintendo,Nintendo,6.7,,0.38,0.17,0.14,0.04,0.03,2014,07
1083,6771,NCAA Football 08,PS3,EA Tiburon,Electronic Arts,,,0.38,0.35,,,0.03,2007,07
1084,6772,ESPN College Hoops 2K5,XB,Visual Concepts,Sega,,,0.38,0.29,0.08,,0.01,2004,11
1085,6773,Naruto: Clash of Ninja Revolution 2,Wii,8ing/Raizing,Tomy Corporation,,,0.38,0.34,0.02,,0.03,2008,10
1086,6774,Looney Tunes: Acme Arsenal,PS2,Red Tribe,Warner Bros. Interactive,,,0.38,0.19,0.15,,0.05,2007,10
1087,6775,Wolfenstein: The New Order,X360,MachineGames,Bethesda Softworks,,,0.38,0.18,0.17,,0.03,2014,05
1088,6776,Junior Classic Games,DS,Uacari,Take-Two Interactive,,,0.38,0.26,0.09,,0.03,2009,11
1089,6777,The Cat in the Hat,GBA,NewKidCo,Jack of All Games,,,0.38,0.27,0.1,,0.01,2005,04
1090,6778,Raving Rabbids: Travel in Time 3D,3DS,Ubisoft Paris,Ubisoft,5.8,,0.38,0.11,0.24,,0.04,2011,04
1091,6779,NFL GameDay 2002,PS2,Red Zone Entertainment,Sony Computer Entertainment,,,0.38,0.19,0.15,,0.05,2001,12
1092,6780,Turok: Evolution,GC,Acclaim Studios Austin,Acclaim Entertainment,7.4,,0.38,0.3,0.08,,0.01,2002,08
1093,6781,Jam Sessions: Sing and Play Guitar (US sales),DS,Plato,Ubisoft,,,0.38,0.38,0.0,,,2007,09
1094,6782,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,Bandai,Bandai,,,0.38,,,0.38,,2002,05
1095,6783,Ice Age,GBA,A2M,Ubisoft,4.2,,0.38,0.27,0.1,,0.01,2002,03
1096,6784,Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,CyberConnect2,Namco Bandai,,,0.38,0.13,0.04,0.19,0.03,2010,05
1097,6785,Just Dance 4,WiiU,Ubisoft,Ubisoft,,,0.38,0.21,0.14,,0.03,2012,11
1098,6786,Sega Superstars Tennis,PS2,Sumo Digital,Sega,6.9,,0.38,0.1,0.0,,0.28,2008,03
1099,6787,Headhunter,PS2,Amuze,Sega,,,0.38,0.19,0.15,,0.05,2002,05
1100,6788,Lego Marvel Super Heroes: Universe in Peril,DS,TT Fusion,Warner Bros. Interactive Entertainment,,,0.38,0.22,0.13,,0.03,2013,10
1101,6789,Shin Megami Tensei: Devil Summoner,SAT,Atlus Co.,Atlus,,,0.38,,,0.38,,1995,12
1102,6790,Brunswick Pro Bowling,Wii,Point of View,Crave Entertainment,,,0.38,0.35,0.01,,0.03,2007,08
1103,6791,Marvel Nemesis: Rise of the Imperfects,GC,Nihilistic Software,Electronic Arts,6.0,,0.38,0.3,0.08,,0.01,2005,09
1104,6792,Saints Row: The Third,PC,Volition Inc.,THQ,8.3,,0.38,0.16,0.16,,0.05,2011,11
1105,6793,ESPN Extreme Games,PS,Sony Interactive Studios America,Sony Computer Entertainment,,,0.38,0.11,0.08,0.17,0.03,1995,01
1106,6794,Ghost Trick: Phantom Detective,DS,Capcom,Capcom,8.2,,0.38,0.17,0.08,0.12,0.02,2011,01
1107,6795,Ninja: Shadow of Darkness,PS,Unknown,Eidos Interactive,,,0.38,0.21,0.14,,0.02,1998,09
1108,6796,SD Gundam G Generation-F,PS,Bandai,Bandai,,,0.38,,,0.36,0.02,2000,08
1109,6797,Bratz: Rock Angelz,PS2,Blitz Games,THQ,,,0.38,0.19,0.15,,0.05,2005,10
1110,6798,FlatOut,PS2,Bugbear Entertainment,Empire Interactive,,,0.38,0.19,0.15,,0.05,2005,07
1111,6799,Ice Age: Dawn of the Dinosaurs,DS,Artificial Mind and Movement,Activision,5.0,,0.38,0.2,0.15,,0.04,2009,06
1112,6800,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,Capcom,Unknown,8.1,,0.38,,,0.38,,2014,01
1113,6801,Iron Man 2,PSP,"Sega Studios, San Francisco",Sega,,,0.38,0.18,0.13,,0.08,2010,05
1114,6802,SSX 3,GC,EA Canada,EA Sports BIG,9.5,,0.38,0.29,0.08,,0.01,2003,10
1115,6803,NCAA Football 11,PS2,EA Tiburon,EA Sports,6.4,,0.38,0.19,0.15,,0.05,2010,07
1116,6804,Sesame Street: Elmo's A-to-Zoo Adventure,Wii,Black Lantern Studios,Warner Bros. Interactive,,,0.38,0.35,,,0.03,2010,10
1117,6805,Disney's Lilo & Stitch 2: Hamsterveil Havoc,GBA,Climax,Buena Vista,,,0.38,0.27,0.1,,0.01,2004,10
1118,6806,FIFA 13,PSP,EA Canada,EA Sports,,,0.38,0.06,0.22,0.02,0.08,2012,09
1119,6807,Rayman Legends,XOne,Ubisoft Montpellier,Ubisoft,,,0.38,0.13,0.22,,0.03,2014,02
1120,6808,Risk: Global Domination,PS2,Cyberlore Studios,Atari,,,0.38,0.19,0.15,,0.05,2003,11
1121,6809,Bloody Trapland,PC,2Play,Unknown,,,,,,,,,
1122,6810,Tamagotchi Connection: Corner Shop 3,DS,NanaOn-Sha,Namco Bandai,,,0.38,0.06,0.0,0.31,0.01,2008,06
1123,6811,Tales of Hearts R,PSV,7thChord,Namco Bandai Games,,,0.38,0.11,0.12,0.09,0.07,2014,11
1124,6812,Mobile Suit Gundam version 2.0,PS,Unknown,Bandai,,,0.38,,,0.36,0.02,1996,03
1125,6813,Grandia Xtreme,PS2,Game Arts,Enix,6.7,,0.38,0.07,0.05,0.25,0.02,2002,09
1126,6814,Virtua Tennis 2009,PS3,Sumo Digital,Sega,6.6,,0.38,0.09,0.22,,0.06,2009,06
1127,6815,Silent Scope,PS2,KCET,Konami,,,0.38,0.19,0.15,,0.05,2000,10
1128,6816,Dragon Quest & Final Fantasy in Itadaki Street Special,PS2,Paon,Square Enix,,,,,,,,2004,12
1129,6817,Ennichi no Tatsujin,Wii,Namco Bandai Games,Namco Bandai,,,0.1,,,0.1,,2006,12
1130,6818,Final Fantasy Adventure,GB,Square,Square,9.0,,0.38,,,0.38,,1991,11
1131,6819,Dora The Explorer: Dora Saves the Snow Princess,PS2,High Voltage Software,2K Play,,,0.38,0.19,0.15,,0.05,2008,10
1132,6820,The Incredible Hulk,PS2,Edge of Reality,Sega,,,0.38,0.32,0.01,,0.05,2008,06
1133,6821,Mercenaries 2: World in Flames,PS2,Pi Studios,Electronic Arts,,,0.38,0.21,0.0,0.0,0.17,2008,08
1134,6822,FIFA 14,PC,EA Canada,EA Sports,,,0.38,0.01,0.35,,0.02,2013,09
1135,6823,Tokimeki Memorial: Forever with You,SAT,Konami,Konami,,,0.38,,,0.38,,1996,07
1136,6824,MediEvil II,PS,SCEE,Sony Computer Entertainment,,,0.38,0.21,0.14,,0.02,2000,04
1137,6825,Hunter: The Reckoning,XB,High Voltage Software,Interplay,7.8,,0.38,0.28,0.08,,0.01,2002,05
1138,6826,MX vs. ATV Untamed,PS2,Rainbow Studios,THQ,,,0.38,0.32,0.01,,0.05,2007,12
1139,6827,The Vanishing of Ethan Carter,PC,The Astronauts,The Astronauts,8.7,,,,,,,2014,09
1140,6828,Rogue Trip: Vacation 2012,PS,SingleTrac,GT Interactive,,,0.38,0.21,0.14,,0.02,1998,09
1141,6829,Dai-4-Ji Super Robot Taisen,SNES,Banpresto,Banpresto,,,0.38,,,0.38,,1995,03
1142,6830,Just Dance 2016,XOne,Ubisoft Paris,Ubisoft,,,0.38,0.3,0.04,,0.04,2015,10
1143,6831,Castlevania: Lords of Shadow - Ultimate Edition,PC,Mercury Steam,Unknown,,,,,,,,,
1144,6832,Cabela's Dangerous Hunts 2009,Wii,Activision,Activision,,,0.38,0.35,,,0.03,2008,09
1145,6833,Scribblenauts: Unlimited,WiiU,5TH Cell,Warner Bros. Interactive Entertainment,7.0,,0.38,0.25,0.1,,0.04,2012,11
1146,6834,Pro Evolution Soccer 2011 3D,3DS,Konami,Konami,7.5,,0.38,0.11,0.13,0.11,0.02,2011,03
1147,6835,Persona 4: Dancing All Night,PSV,Dingo Inc.,Atlus,,,0.38,0.12,0.04,0.16,0.05,2015,09
1148,6836,Pokémon Channel,GC,Ambrella,Nintendo,5.2,,0.38,0.24,0.06,0.07,0.01,2003,12
1149,6837,NBA 2K7,PS3,Visual Concepts,2K Sports,8.1,,0.38,0.3,0.04,,0.03,2006,11
1150,6838,Need for Speed: Nitro,DS,EA Montreal,Electronic Arts,7.2,,0.38,0.21,0.13,,0.04,2009,11
1151,6839,The Dog Island,Wii,Yuke's Media Creations,Ubisoft,,,0.38,0.34,0.01,,0.03,2008,05
1152,6840,Rebel Galaxy,PC,Double Damage Games,Double Damage Games,,,,,,,,2016,01
1153,6841,Tiger Woods PGA Tour 08,PSP,EA Tiburon,Electronic Arts,7.5,,0.38,0.14,0.15,,0.09,2007,08
1154,6842,Moto Racer World Tour,PS,Delphine Software International,Infogrames,,,0.38,0.21,0.14,,0.02,2000,11
1155,6843,Hatsune Miku: Project Mirai DX,3DS,Sega,Sega,7.5,,0.38,0.2,0.04,0.11,0.03,2015,09
1156,6844,NCAA Final Four 2000,PS,989 Sports,989 Sports,,,0.38,0.21,0.14,,0.02,1999,10
1157,6845,Devil May Cry HD Collection,X360,Capcom,Capcom,,,0.44,0.28,0.11,0.01,0.04,2012,04
1158,6846,Cogs,PC,Lazy 8 Studios,Lazy 8 Studios,7.5,,,,,,,2009,04
1159,6847,Madagascar: Escape 2 Africa,PS2,Idol Minds,Activision,,,0.38,0.12,0.0,,0.26,2008,11
1160,6848,Doom (2016),PC,id Software,Bethesda Softworks,,,0.38,0.11,0.24,,0.03,2016,05
1161,6849,Scooby-Doo! and the Spooky Swamp,DS,Torus Games,Warner Bros. Interactive,,,0.38,0.25,0.1,,0.03,2010,09
1162,6850,Dancing with the Stars: We Dance!,Wii,Zoe Mode,Activision,,,0.38,0.35,,,0.03,2008,10
1163,6851,Magic: The Gathering - Duels of the Planeswalkers 2012,PC,Stainless Games,Wizards of the Coast,8.0,,,,,,,2011,06
1164,6852,Hangman,2600,Atari,Atari,,,0.38,0.35,0.02,,0.0,1978,01
1165,6853,Petz Rescue: Wildlife Vet,DS,Virtual Toys / Lexis Numerique,Ubisoft,,,0.38,0.35,0.0,,0.03,2008,10
1166,6854,Paws & Claws: Pampered Pets,DS,Radon Labs GmbH,THQ,,,0.38,0.35,,,0.03,2009,01
1167,6855,Guitar Hero Live,PS3,FreeStyleGames,Activision,,,0.38,0.16,0.16,,0.06,2015,10
1168,6856,Imagine: Party Babyz,Wii,Visual Impact,Ubisoft,,,0.38,0.33,0.02,,0.03,2008,11
1169,6857,Gravitar,2600,Atari,Atari,,,0.38,0.35,0.02,,0.0,1983,01
1170,6858,This is the Police,PC,Weappy Studio,EuroVideo Medien,,,,,,,,2016,08
1171,6859,FIFA 13,PC,EA Canada,EA Sports,,,0.38,0.02,0.32,,0.04,2012,09
1172,6860,EyeToy Play 2,PS2,SCEE London Studio,Sony Computer Entertainment,,,0.38,0.18,0.14,,0.05,2005,08
1173,6861,Dance Dance Revolution Ultramix 3,XB,Konami Computer Entertainment Hawaii,Konami,,,0.38,0.28,0.08,,0.01,2005,11
1174,6862,Monster Jam: Path of Destruction,DS,Virtuos,Activision,,,0.38,0.34,0.0,,0.03,2010,11
1175,6863,WWE SmackDown vs. Raw 2011,PS2,JAKKS Pacific,THQ,,,0.38,0.24,0.07,,0.07,2010,10
1176,6864,Peppa Pig: The Game,Wii,Asylum Entertainment,Pinnacle,,,0.38,,0.34,,0.03,2009,12
1177,6865,Genital Jousting,PC,Free Lives,Unknown,,,,,,,,,
1178,6866,Mountain,PC,Double Fine Productions,Double Fine Productions,,,,,,,,2014,07
1179,6867,MLB 16: The Show,PS3,SCE San Diego Studio,Sony Computer Entertainment America,,,0.38,0.3,,,0.07,2016,03
1180,6868,Puppy Palace,DS,Ubisoft,Ubisoft,,,0.38,0.35,,,0.03,2008,02
1181,6869,Harry Potter and the Prisoner of Azkaban,GC,Electronic Arts,Electronic Arts,,,0.38,0.29,0.08,,0.01,2004,06
1182,6870,Bionic Commando,X360,GRIN,Capcom,7.1,8.0,0.28,0.12,0.12,0.01,0.03,2009,05
1183,6871,The Golden Compass,PSP,Shiny Entertainment,Sega,2.8,,0.37,0.11,0.16,,0.1,2007,12
1184,6872,NHL 15,PS3,EA Canada,EA Sports,,,0.37,0.22,0.09,,0.07,2014,09
1185,6873,LEGO Batman 2: DC Super Heroes,PSV,TT Fusion,Warner Bros. Interactive Entertainment,,,0.37,0.16,0.13,,0.08,2012,06
1186,6874,Petz Rescue: Ocean Patrol,DS,Magic Pockets,Ubisoft,,,0.37,0.35,,,0.03,2008,10
1187,6875,Solaris,2600,Atari,Atari,,,0.37,0.35,0.02,,0.0,1986,07
1188,6876,Life is Strange,PS4,DONTNOD Entertainment,Square Enix,,,0.37,0.11,0.16,0.05,0.05,2016,01
1189,6877,NBA 2K10    Read the review,Wii,Visual Concepts,2K Sports,5.1,,0.37,0.34,0.0,,0.03,2009,11
1190,6878,Batman: Arkham City Armored Edition,WiiU,Rocksteady Studios,Warner Bros. Interactive Entertainment,8.6,,0.37,0.16,0.18,,0.03,2012,11
1191,6879,EA Sports MMA,PS3,EA Tiburon,EA Sports,7.6,,0.37,0.16,0.14,0.01,0.06,2010,10
1192,6880,Tobal 2,PS,DreamFactory,Square,,,0.37,,,0.35,0.02,1997,04
1193,6881,Warriors Orochi 2,PS3,Omega Force,Tecmo Koei,,,0.37,,,0.37,,2012,03
1194,6882,Tiger Woods PGA Tour 09,PS2,EA Tiburon,EA Sports,,,0.37,0.16,0.0,,0.21,2008,08
1195,6883,Ultimate Spider-Man,GC,Treyarch,Activision,,,0.37,0.29,0.07,,0.01,2005,09
1196,6884,Major League Baseball 2K6,X360,Kush Games,2K Sports,6.3,,0.37,0.34,,,0.03,2006,04
1197,6885,NBA Inside Drive 2002,XB,High Voltage Software,Microsoft,,,0.37,0.28,0.08,,0.01,2002,01
1198,6886,Prince of Persia: The Forgotten Sands,PSP,Quebec City,Ubisoft,,,0.37,0.09,0.18,0.01,0.1,2010,05
1199,6887,Minecraft,3DS,Other Ocean Interactive,Nintendo,6.7,,0.37,0.33,,,0.04,2017,11
1200,6888,Firewall: Zero Hour,PS4,First Contact Entertainment Inc.,Sony Interactive Entertainment,,,0.37,0.14,0.16,0.02,0.06,2018,08
1201,6889,Kileak: The DNA Imperative,PS,Genki,Sony Computer Entertainment,,,0.37,0.08,0.06,0.21,0.02,1995,01
1202,6890,Petz: Catz 2,PS2,Yuke's Media Creations,Ubisoft,,,0.37,0.18,0.14,,0.05,2007,11
1203,6891,ZhuZhu Pets: Featuring The Wild Bunch,Wii,Black Lantern Studios,Activision,,,0.37,0.31,0.03,,0.03,2010,10
1204,6892,Resident Evil: Origins Collection,PS4,Capcom,Capcom,,,0.37,0.07,0.18,0.07,0.05,2016,01
1205,6893,Cabela's Big Game Hunter 2012,Wii,Activision,Activision,,,0.37,0.33,0.02,,0.02,2011,09
1206,6894,Go Vacation,NS,Bandai Namco Studios,Nintendo,,,0.37,0.12,0.22,0.01,0.03,2018,07
1207,6895,Kingdom Under Fire: Circle of Doom,X360,Blue Side,Microsoft,,,0.37,0.18,0.12,0.04,0.04,2008,01
1208,6896,"Monsters, Inc. Scream Arena",GC,Radical Entertainment,THQ,3.8,,0.37,0.29,0.07,,0.01,2002,09
1209,6897,Reel Fishing III,PS2,Natsume,Natsume,,,0.37,0.18,0.14,,0.05,2003,09
1210,6898,Quake 4,X360,id Software / Raven Software,Activision,7.3,,0.37,0.32,0.02,,0.03,2005,11
1211,6899,Guitar Hero On Tour: Modern Hits    Read the review,DS,Activision,Activision,7.3,,0.37,0.13,0.2,,0.04,2009,06
1212,6900,Trivial Pursuit,X360,Adrenalin Interactive,Electronic Arts,,,0.37,0.12,0.21,,0.04,2009,03
1213,6901,Cabela's Deer Hunt 2005 Season,PS2,Sand Grain Studios,Activision,,,0.37,0.18,0.14,,0.05,2004,08
1214,6902,Disgaea 5,All,Nippon Ichi Software,Unknown,,,,,,,,,
1215,6903,Skate    Read the review,PS3,EA Black Box,Electronic Arts,,,0.37,0.29,0.04,0.0,0.03,2007,09
1216,6904,Rampage: Total Destruction,PS2,"Pipeworks Software, Inc.",Midway Games,,,0.37,0.18,0.14,,0.05,2006,04
1217,6905,High Heat Major League Baseball 2003,PS2,3DO,3DO,,,0.37,0.18,0.14,,0.05,2002,02
1218,6906,Super Formation Soccer 94,SNES,Human Entertainment,Human Entertainment,,,0.37,,,0.37,,1994,06
1219,6907,Rec Room Games,Wii,Arcade Moon,Destineer,,,0.37,0.35,,,0.03,2009,12
1220,6908,Middle-Earth: Shadow of Mordor,PC,Monolith Productions,Warner Bros. Interactive Entertainment,,,0.37,0.14,0.2,,0.03,2014,09
1221,6909,Revolution Ace,PC,Unknown,Unknown,,,,,,,,2014,04
1222,6910,AI War: Fleet Command,PC,Arcen Games,"Arcen Games, LLC",,,,,,,,2009,10
1223,6911,Panzer Dragoon,SAT,Team Andromeda,Sega,,,0.37,,,0.37,,1995,05
1224,6912,Streets of Rogue,PC,Matt Dabrowski,Unknown,,,,,,,,,
1225,6913,Burnout Paradise Remastered    Read the review,PS4,Stellar Entertainment,Electronic Arts,8.0,,0.37,0.08,0.22,0.01,0.06,2018,03
1226,6914,Spider-Man: Friend or Foe,PS2,Next Level Games,Activision,5.4,,0.37,0.31,0.01,,0.05,2007,10
1227,6915,Yarudora Series Vol.1: Double Cast,PS,Sugar & Rockets,Sony Computer Entertainment,,,0.37,,,0.35,0.02,1998,06
1228,6916,Thief,PS3,Eidos Montreal,Square Enix,,,0.37,0.1,0.19,0.03,0.06,2014,02
1229,6917,Dynasty Warriors 9,PS4,Omega Force,Tecmo Koei,,,0.37,0.1,0.06,0.17,0.03,2018,02
1230,6918,DiRT 2,Wii,Codemasters,Codemasters,4.6,,0.37,0.1,0.23,,0.04,2009,09
1231,6919,Never Alone    Read the review,PC,Unknown,E-Line Media,,,,,,,,2014,11
1232,6920,Death Rally (Remake),PC,Unknown,Nordic Games,,,,,,,,2012,08
1233,6921,Imagine: Salon Stylist,DS,Playbox Limited,Ubisoft,,,0.37,0.23,0.11,,0.03,2009,09
1234,6922,Bayonetta 2,NS,PlatinumGames,Nintendo,9.5,,0.57,0.26,0.2,0.07,0.04,2018,02
1235,6923,Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,N64,ChunSoft,ChunSoft,,,0.37,,,0.32,0.05,2000,09
1236,6924,Naruto: Ultimate Ninja Heroes,PSP,CyberConnect2,Namco Bandai,7.0,,0.26,0.26,0.0,,,2007,08
