,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,year,month
104,5105,Ms. Pac-Man Maze Madness,GBA,Full-Fat,"Destination Software, Inc",,,0.56,0.4,0.15,,0.01,2004,11
105,5106,State of Anarchy,PC,Lapovich,Unknown,,,,,,,,,
106,5107,Soul Sacrifice,PSV,Marvelous Entertainment,Sony Computer Entertainment,,,0.56,0.15,0.11,0.22,0.08,2013,04
107,5108,Jillian Michaels Fitness Ultimatum 2010,Wii,Collision Studios,Majesco,,,0.56,0.51,0.01,,0.04,2009,10
108,5109,Arena Football,PS2,EA Tiburon,EA Sports,,,0.56,0.28,0.22,,0.07,2006,02
109,5110,The Lord of the Rings: The Return of the King,GBA,Griptonite Games,Electronic Arts,7.4,,0.56,0.4,0.15,,0.01,2003,11
110,5111,NHL Hitz 20-02,PS2,EA Black Box,Midway Games,,,0.56,0.28,0.22,,0.07,2001,09
111,5112,Classic NES Series: Dr. Mario,GBA,Nintendo,Nintendo,,,0.56,0.31,0.11,0.13,0.01,2004,10
112,5113,The Sims: Bustin' Out,XB,Maxis,Electronic Arts,,,0.56,0.4,0.14,,0.02,2003,12
113,5114,"Warhammer 40,000: Space Marine",X360,Relic Entertainment,THQ,7.3,,0.56,0.25,0.26,,0.06,2011,09
114,5115,NCAA March Madness 07,PS2,EA Canada,EA Sports,,,0.56,0.28,0.22,,0.07,2007,01
115,5116,LEGO Rock Band    Read the review,X360,TT Games / Harmonix Music Systems,Warner Bros. Interactive,7.3,,0.56,0.4,0.11,,0.05,2009,11
116,5117,"Monsters, Inc. Scream Team",PS,Artificial Mind and Movement,Sony Computer Entertainment,,,0.56,0.31,0.21,,0.04,2001,10
117,5118,Harry Potter Collection,PS2,Electronic Arts,Electronic Arts,,,0.56,0.28,0.21,,0.07,2007,10
